2016-10-01 08:52:38.7921 | VeraHuesBridge.SSDPService | INFO | Testing if message is SSDP Discovery Packet... |  
2016-10-01 08:52:38.7921 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet not detected. |  
2016-10-01 08:52:38.8112 | VeraHuesBridge.SSDPService | INFO | Restarted Multicast Receiver. |  
2016-10-01 08:52:38.8219 | VeraHuesBridge.SSDPService | INFO | Received a UDP multicast from IP [239.255.255.250], on port [1900]. |  
2016-10-01 08:52:38.8219 | VeraHuesBridge.SSDPService | INFO | Testing if message is SSDP Discovery Packet... |  
2016-10-01 08:52:38.9440 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet not detected. |  
2016-10-01 08:52:38.9440 | VeraHuesBridge.SSDPService | INFO | Restarted Multicast Receiver. |  
2016-10-01 08:52:38.9650 | VeraHuesBridge.SSDPService | INFO | Received a UDP multicast from IP [239.255.255.250], on port [1900]. |  
2016-10-01 08:52:38.9752 | VeraHuesBridge.SSDPService | INFO | Testing if message is SSDP Discovery Packet... |  
2016-10-01 08:52:38.9752 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet not detected. |  
2016-10-01 08:52:38.9953 | VeraHuesBridge.SSDPService | INFO | Restarted Multicast Receiver. |  
2016-10-01 08:53:12.7938 | VeraHuesBridge.SSDPService | INFO | Received a UDP multicast from IP [239.255.255.250], on port [1900]. |  
2016-10-01 08:53:12.8036 | VeraHuesBridge.SSDPService | INFO | Testing if message is SSDP Discovery Packet... |  
2016-10-01 08:53:12.8036 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet not detected. |  
2016-10-01 08:53:12.8295 | VeraHuesBridge.SSDPService | INFO | Restarted Multicast Receiver. |  
2016-10-01 08:53:13.0633 | VeraHuesBridge.SSDPService | INFO | Received a UDP multicast from IP [239.255.255.250], on port [1900]. |  
2016-10-01 08:53:13.0731 | VeraHuesBridge.SSDPService | INFO | Testing if message is SSDP Discovery Packet... |  
2016-10-01 08:53:13.0731 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet not detected. |  
2016-10-01 08:53:13.0931 | VeraHuesBridge.SSDPService | INFO | Restarted Multicast Receiver. |  
2016-10-01 08:53:13.1332 | VeraHuesBridge.SSDPService | INFO | Received a UDP multicast from IP [239.255.255.250], on port [1900]. |  
