2016-10-03 07:22:47.8203 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 07:22:47.8515 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 07:23:42.3405 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 07:23:42.3718 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 07:24:36.4122 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 07:24:36.4435 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 07:25:30.4952 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 07:25:30.5108 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 07:26:23.5493 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 07:26:23.5757 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 07:27:17.7543 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 07:27:17.7699 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 07:28:11.8202 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 07:28:11.8438 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 07:29:06.0110 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 07:29:06.0423 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 07:30:00.0637 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 07:30:00.0930 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 07:30:54.4840 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 07:30:54.5133 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 07:31:48.9049 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 07:31:48.9337 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 07:32:43.0635 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 07:32:43.0948 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 07:33:37.1313 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 07:33:37.1631 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 07:34:31.4675 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 07:34:31.4967 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 07:35:25.5414 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 07:35:25.5726 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 07:36:19.7469 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 07:36:19.7781 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 07:37:13.8227 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 07:37:13.8540 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 07:38:07.8759 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 07:38:07.9052 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 07:39:02.0658 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 07:39:02.0970 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 07:39:56.1473 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 07:39:56.1710 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 07:40:50.2065 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 07:40:50.2222 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 07:41:44.2910 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 07:41:44.3283 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 07:42:38.3497 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 07:42:38.3810 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 07:43:32.4180 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 07:43:32.4542 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 07:44:26.6238 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 07:44:26.6550 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 07:45:20.6760 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 07:45:20.7133 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 07:46:14.7499 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 07:46:14.7811 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 07:47:08.4188 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 07:47:08.4561 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 07:48:02.4932 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 07:48:02.5088 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 07:48:56.6987 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 07:48:56.7143 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 07:49:50.4518 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 07:49:50.4831 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 07:50:44.6727 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 07:50:44.6964 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 07:51:38.7344 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
